Time,Roof,F15,F14,F13,F12,F11,F10,F9,F8,F7,F6,F5,F4,F3,F2
0.1,2e-06,-8.98461538461539e-06,-4.81538461538461e-06,-5.24615384615385e-06,-5.95384615384616e-06,-7.49999999999999e-06,-1.053e-05,-1.40838461538462e-05,-2.53576923076923e-05,-2.35261538461538e-05,-1.37206923076923e-05,-1.50862307692308e-05,-1.51476923076923e-05,-8.39384615384616e-06,1.9075e-05
0.11,2e-06,-8.98461538461539e-06,-4.81538461538461e-06,-5.24615384615385e-06,-5.95384615384616e-06,-7.49999999999999e-06,-1.053e-05,-1.40838461538462e-05,-2.53569230769231e-05,-2.35269230769231e-05,-1.37194615384615e-05,-1.50920769230769e-05,-1.51869230769231e-05,-8.43846153846154e-06,1.90732142857143e-05
0.12,2e-06,-8.98461538461539e-06,-4.81538461538461e-06,-5.24615384615385e-06,-5.95384615384616e-06,-7.49999999999999e-06,-1.05330769230769e-05,-1.40838461538461e-05,-2.53576923076923e-05,-2.35269230769231e-05,-1.37177692307692e-05,-1.51037692307692e-05,-1.52346153846154e-05,-8.47923076923077e-06,1.90707142857143e-05
0.13,2e-06,-8.98461538461537e-06,-4.81538461538462e-06,-5.24615384615385e-06,-5.95384615384616e-06,-7.49999999999999e-06,-1.05338461538462e-05,-1.40838461538462e-05,-2.53576923076923e-05,-2.35269230769231e-05,-1.3716e-05,-1.51224615384615e-05,-1.52892307692308e-05,-8.51615384615385e-06,1.90678571428571e-05
0.14,2e-06,-8.98461538461539e-06,-4.82307692307692e-06,-5.24615384615385e-06,-5.95384615384616e-06,-7.49999999999999e-06,-1.05323076923077e-05,-1.40838461538462e-05,-2.53592307692308e-05,-2.35253846153846e-05,-1.37156153846154e-05,-1.51505384615385e-05,-1.53469230769231e-05,-8.55e-06,1.90653571428571e-05
0.15,2.00000000000002e-06,-8.98461538461539e-06,-4.81538461538462e-06,-5.25384615384614e-06,-5.95384615384616e-06,-7.50000000000001e-06,-1.053e-05,-1.40838461538462e-05,-2.53592307692308e-05,-2.35246153846154e-05,-1.37173076923077e-05,-1.51880769230769e-05,-1.54046153846154e-05,-8.58230769230769e-06,1.90632142857143e-05
0.16,1.9923076923077e-06,-8.98461538461539e-06,-4.81538461538462e-06,-5.25384615384614e-06,-5.95384615384616e-06,-7.50000000000001e-06,-1.05307692307692e-05,-1.40846153846154e-05,-2.536e-05,-2.35215384615385e-05,-1.37243846153846e-05,-1.52340769230769e-05,-1.54615384615385e-05,-8.61307692307692e-06,1.90603571428571e-05
0.17,1.99230769230769e-06,-8.98461538461539e-06,-4.81538461538461e-06,-5.25384615384616e-06,-5.95384615384616e-06,-7.49999999999999e-06,-1.05346153846154e-05,-1.40853846153846e-05,-2.53607692307692e-05,-2.35169230769231e-05,-1.37383846153846e-05,-1.5287e-05,-1.55161538461538e-05,-8.64384615384615e-06,1.90564285714286e-05
0.18,2e-06,-8.98461538461539e-06,-4.82307692307692e-06,-5.25384615384616e-06,-5.95384615384614e-06,-7.50000000000001e-06,-1.05338461538461e-05,-1.40869230769231e-05,-2.53592307692308e-05,-2.35146153846154e-05,-1.376e-05,-1.53446153846154e-05,-1.55661538461538e-05,-8.67692307692307e-06,1.90517857142857e-05
0.19,2e-06,-8.9923076923077e-06,-4.81538461538461e-06,-5.25384615384616e-06,-5.95384615384616e-06,-7.49999999999999e-06,-1.05369230769231e-05,-1.40884615384615e-05,-2.53576923076923e-05,-2.35130769230769e-05,-1.37910769230769e-05,-1.54043076923077e-05,-1.56146153846154e-05,-8.71230769230769e-06,1.90478571428571e-05
0.2,1.99230769230769e-06,-8.98461538461539e-06,-4.82307692307692e-06,-5.25384615384614e-06,-5.95384615384616e-06,-7.50000000000001e-06,-1.05369230769231e-05,-1.40892307692308e-05,-2.53553846153846e-05,-2.35146153846154e-05,-1.38316923076923e-05,-1.54644615384615e-05,-1.566e-05,-8.75076923076923e-06,1.90442857142857e-05
0.21,1.99230769230769e-06,-8.98461538461539e-06,-4.82307692307692e-06,-5.25384615384616e-06,-5.96153846153845e-06,-7.49999999999999e-06,-1.05346153846154e-05,-1.409e-05,-2.53507692307692e-05,-2.35230769230769e-05,-1.38795384615385e-05,-1.5522e-05,-1.57069230769231e-05,-8.79e-06,1.90414285714286e-05
0.22,1.99230769230769e-06,-8.98461538461539e-06,-4.82307692307692e-06,-5.25384615384616e-06,-5.96153846153845e-06,-7.50000000000001e-06,-1.05376923076923e-05,-1.409e-05,-2.53469230769231e-05,-2.35376923076923e-05,-1.39339230769231e-05,-1.55768461538462e-05,-1.57546153846154e-05,-8.83076923076923e-06,1.90396428571429e-05
0.23,1.99230769230769e-06,-8.9923076923077e-06,-4.81538461538461e-06,-5.26153846153846e-06,-5.95384615384616e-06,-7.50769230769231e-06,-1.05384615384615e-05,-1.40876923076923e-05,-2.53438461538462e-05,-2.35607692307692e-05,-1.39923461538462e-05,-1.56299615384615e-05,-1.58038461538462e-05,-8.87076923076923e-06,1.90378571428571e-05
0.24,2e-06,-8.9923076923077e-06,-4.82307692307692e-06,-5.25384615384616e-06,-5.96153846153845e-06,-7.50769230769231e-06,-1.05407692307692e-05,-1.40846153846154e-05,-2.53423076923077e-05,-2.35938461538462e-05,-1.40520307692308e-05,-1.56802769230769e-05,-1.58569230769231e-05,-8.90846153846154e-06,1.90346428571429e-05
0.25,1.99230769230769e-06,-8.9923076923077e-06,-4.82307692307692e-06,-5.25384615384614e-06,-5.96153846153847e-06,-7.50769230769231e-06,-1.05453846153846e-05,-1.408e-05,-2.53453846153846e-05,-2.36346153846154e-05,-1.41115230769231e-05,-1.57307846153846e-05,-1.59115384615385e-05,-8.94461538461538e-06,1.90303571428571e-05
0.26,2e-06,-8.9923076923077e-06,-4.83076923076923e-06,-5.25384615384614e-06,-5.96153846153847e-06,-7.50769230769231e-06,-1.05461538461538e-05,-1.40746153846154e-05,-2.53538461538462e-05,-2.36823076923077e-05,-1.41701923076923e-05,-1.57813461538462e-05,-1.59676923076923e-05,-8.98e-06,1.90260714285714e-05
0.27,1.9923076923077e-06,-8.9923076923077e-06,-4.83076923076923e-06,-5.25384615384616e-06,-5.96153846153845e-06,-7.51538461538462e-06,-1.05461538461538e-05,-1.40661538461538e-05,-2.53692307692308e-05,-2.37369230769231e-05,-1.42261230769231e-05,-1.58346461538462e-05,-1.60230769230769e-05,-9.01538461538461e-06,1.90225e-05
0.28,2e-06,-8.9923076923077e-06,-4.83076923076923e-06,-5.26153846153846e-06,-5.96153846153847e-06,-7.51538461538462e-06,-1.05384615384615e-05,-1.40684615384615e-05,-2.53930769230769e-05,-2.37938461538462e-05,-1.42809238461538e-05,-1.58890761538462e-05,-1.60784615384615e-05,-9.0523076923077e-06,1.90189285714286e-05
0.29,1.99230769230769e-06,-8.99230769230768e-06,-4.83076923076923e-06,-5.25384615384616e-06,-5.96923076923076e-06,-7.52307692307693e-06,-1.05307692307692e-05,-1.40661538461538e-05,-2.54253846153846e-05,-2.38523076923077e-05,-1.43348615384615e-05,-1.59466769230769e-05,-1.61315384615385e-05,-9.09076923076923e-06,1.9015e-05
0.3,2e-06,-8.99999999999999e-06,-4.83076923076923e-06,-5.26153846153846e-06,-5.96923076923078e-06,-7.5153846153846e-06,-1.05307692307692e-05,-1.40707692307692e-05,-2.54653846153846e-05,-2.39107692307692e-05,-1.43882923076923e-05,-1.60055538461538e-05,-1.61838461538462e-05,-9.13153846153846e-06,1.90117857142857e-05
0.31,1.99230769230769e-06,-8.99230769230768e-06,-4.83076923076923e-06,-5.26153846153846e-06,-5.97692307692308e-06,-7.52307692307693e-06,-1.05153846153846e-05,-1.40846153846154e-05,-2.55115384615385e-05,-2.39684615384615e-05,-1.44424384615385e-05,-1.60652538461538e-05,-1.62361538461538e-05,-9.17307692307692e-06,1.90092857142857e-05
