Time,Roof,F15,F14,F13,F12,F11,F10,F9,F8,F7,F6,F5,F4,F3,F2
0.1,-8.28461538461539e-06,-2.36538461538462e-05,-1.91384615384615e-05,-1.89538461538461e-05,-1.89076923076923e-05,-1.84307692307692e-05,-1.65323076923077e-05,-1.45876923076923e-05,-2.22707692307692e-05,-2.06607692307692e-05,-1.26146615384615e-05,-1.43599538461538e-05,-1.47253846153846e-05,-8.73153846153846e-06,1.77707142857143e-05
0.11,-8.28461538461539e-06,-2.36538461538461e-05,-1.91384615384616e-05,-1.89461538461539e-05,-1.89076923076923e-05,-1.84384615384615e-05,-1.65323076923077e-05,-1.45876923076923e-05,-2.22707692307692e-05,-2.06607692307692e-05,-1.26148615384615e-05,-1.43659076923077e-05,-1.47623076923077e-05,-8.77538461538462e-06,1.77682142857143e-05
0.12,-8.28461538461536e-06,-2.36538461538462e-05,-1.91384615384616e-05,-1.89538461538461e-05,-1.89076923076923e-05,-1.84384615384615e-05,-1.65276923076923e-05,-1.45876923076923e-05,-2.22715384615385e-05,-2.06607692307692e-05,-1.26155538461538e-05,-1.43775230769231e-05,-1.48069230769231e-05,-8.81615384615384e-06,1.77653571428571e-05
0.13,-8.28461538461539e-06,-2.36538461538462e-05,-1.91384615384615e-05,-1.89538461538461e-05,-1.89076923076923e-05,-1.84384615384615e-05,-1.65284615384615e-05,-1.45884615384615e-05,-2.22707692307692e-05,-2.06607692307692e-05,-1.26172153846154e-05,-1.43950923076923e-05,-1.48584615384615e-05,-8.85384615384616e-06,1.77625e-05
0.14,-8.2769230769231e-06,-2.36615384615385e-05,-1.91384615384615e-05,-1.89538461538461e-05,-1.89076923076923e-05,-1.84384615384615e-05,-1.65276923076923e-05,-1.45884615384615e-05,-2.22707692307692e-05,-2.06615384615385e-05,-1.26198069230769e-05,-1.44194238461538e-05,-1.49138461538462e-05,-8.88923076923077e-06,1.776e-05
0.15,-8.2769230769231e-06,-2.36615384615385e-05,-1.91384615384615e-05,-1.89538461538462e-05,-1.89076923076923e-05,-1.84384615384615e-05,-1.65330769230769e-05,-1.45884615384615e-05,-2.22715384615385e-05,-2.06607692307692e-05,-1.26259538461538e-05,-1.44532769230769e-05,-1.49692307692308e-05,-8.92307692307692e-06,1.77582142857143e-05
0.16,-8.2769230769231e-06,-2.36615384615385e-05,-1.91384615384615e-05,-1.89538461538462e-05,-1.89076923076923e-05,-1.84384615384615e-05,-1.65346153846154e-05,-1.45884615384615e-05,-2.22715384615385e-05,-2.06623076923077e-05,-1.26348769230769e-05,-1.44943538461538e-05,-1.50246153846154e-05,-8.95461538461538e-06,1.77553571428571e-05
0.17,-8.27692307692306e-06,-2.36692307692308e-05,-1.91307692307692e-05,-1.89538461538461e-05,-1.89153846153846e-05,-1.84384615384615e-05,-1.65307692307692e-05,-1.45892307692308e-05,-2.22715384615385e-05,-2.06638461538462e-05,-1.26491e-05,-1.45424384615385e-05,-1.50769230769231e-05,-8.98692307692308e-06,1.77514285714286e-05
0.18,-8.28461538461539e-06,-2.36615384615385e-05,-1.91384615384616e-05,-1.89538461538461e-05,-1.89153846153846e-05,-1.84384615384615e-05,-1.65307692307692e-05,-1.45892307692308e-05,-2.22715384615385e-05,-2.06669230769231e-05,-1.26696692307692e-05,-1.45957153846154e-05,-1.51253846153846e-05,-9.02153846153846e-06,1.77471428571429e-05
0.19,-8.28461538461539e-06,-2.36615384615385e-05,-1.91384615384616e-05,-1.89538461538461e-05,-1.89153846153846e-05,-1.84384615384615e-05,-1.65346153846154e-05,-1.45892307692308e-05,-2.22723076923077e-05,-2.06723076923077e-05,-1.26968230769231e-05,-1.46524076923077e-05,-1.51715384615385e-05,-9.05615384615384e-06,1.77425e-05
0.2,-8.29230769230769e-06,-2.36615384615385e-05,-1.91384615384615e-05,-1.89538461538462e-05,-1.89153846153846e-05,-1.84384615384615e-05,-1.65346153846154e-05,-1.45892307692308e-05,-2.22738461538461e-05,-2.068e-05,-1.27321538461538e-05,-1.47093846153846e-05,-1.52153846153846e-05,-9.09461538461538e-06,1.77385714285714e-05
0.21,-8.29230769230769e-06,-2.36615384615385e-05,-1.91384615384616e-05,-1.89615384615385e-05,-1.89076923076923e-05,-1.84461538461538e-05,-1.65323076923077e-05,-1.45892307692308e-05,-2.22753846153846e-05,-2.06923076923077e-05,-1.27745384615385e-05,-1.47646923076923e-05,-1.52592307692308e-05,-9.13461538461538e-06,1.77353571428571e-05
